vczsmcode	VcZSMDesc	VcASMDesc	VcASMCode	VcTSICode	VcTSIDesc	VcWSSTTYCode	VcWSSTTYDesc	VcRSMCode	VcRSMDesc	VcBMCode	VcBMDesc
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM55500	PKTK-A-3	TM55500	PKTK-A-3	RPMKTK1	RPI - KARNATAKA	RPMKTK1	RPI - KARNATAKA
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06350	JVD	TY06350	JVD	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD07060	JKUT	TD07060	JKUT	RPMDEL1	RPM - DELHI	RPMDEL1	RPM - DELHI
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD61200	JUP	TD61200	JUP	RPMDEL1	RPM - DELHI	RPMDEL1	RPM - DELHI
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY06330	JMP	TY06330	JMP	RPMDEL1	RPM - DELHI	RPIMPC1	RPI - MP+CHTSG
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD05480	UT-06	TD54804	W-SHAHJAHANPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05510	CN-3	TM50602	W-TIRUVALLUR-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03050	JAIPUR-6	TA30501	W-JHALARAPATAN CITY.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05250	DEL-B-2	TD52501	W-SAFDARJUNG-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY06290	PMWA-1	TY06290	PMWA-1	RPMMUM1	RPI - MUMBAI	RPMMUM1	RPI - MUMBAI
ZN00101	FV-ZSM-NORTH ZONE	J&K	CD00700	TD05080	JK-01	TD50806	W-RAJOURI-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03130	JJDH	TA03130	JJDH	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY11060	TH-4	TY11064	W-MURBAD-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIWEST	CY00300	TY11120	MW-6	TY31603	W-PALGHAR-2	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	PWTGJ01	PABD-1	PA10001	FW-AHMADABAD	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07030	CH-04	TD57812	W-BILASPUR-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06040	KER-4	TM60401	W-ALLEPPEY-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD06210	DEL-B-5	TD52703	W-BHOGAL-3	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04070	ABD-7	TA40701	W-AH BAD DIST-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04170	SRT-2	TA41705	W-SURAT-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05950	UP E-5	FVWST06	W-KHERI-1	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIWEST	CY00300	TY03150	MW-5	TY03150	MW-5	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06350	JVD	TY06350	JVD	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06210	VD-07	TY62103	W-KAMPTEE-1	ZC00105	FV-ZSM-CENTRAL ZONE	BNG0001	NAGPUR
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM53900	KTK-A-10	FVWST15	W-BANGALORE ADH-2	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0002	BANGALORE-2
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC02040	SCAL-7	TC20401	W-JONEPUR-1	RPMCAL1	RPI - CALCUTTA	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	COIMBTAORE	CM00600	TM05480	TNN-3	TM54802	W-ERODE/TIRUPUR-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIEAST	CY00200	TY02230	ME-4	TY22301	W-SANTACRUZ-1	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA33200	PRJ-A	TA33200	PRJ-A	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05260	DEL-B-3	TD52601	W-SOUTH EXTENSION-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06040	BH-04	TC60402	W-GAYA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06040	BH-04	TC60402	W-GAYA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07000	CH-01	TD57811	W-NALAGARH-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03030	JAIPUR-1	TA30302	W-JAIPUR-2	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00101	FV-ZSM-NORTH ZONE	J&K	CD00700	TD07170	JK-04	TD59902	W-ANANTNAG-2	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD06080	IN-DEL	TD0608A	IN-DEL-A	RPIDEL1	RPI - DELHI	RPIDEL1	RPI - DELHI
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY07270	TH-10	TY11052	W-MUMBAI-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07090	JCH-1	TD0709B	JCH-1-B	RPICHD1	RPI - CHANDIGARH	RPICHD1	RPI - CHANDIGARH
ZW00102	FV-ZSM-WEST-B ZONE	SAURASHTRA	CA00100	TA04130	SAU-5	TA41301	W-BHUJ-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIC	CD01200	TD60800	DEL_C-7	TD56102	W-NARELA BHAWAN-2	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM05330	BLR-2-05	TM54101	W-BANGALORE-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0002	BANGALORE-2
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08040	OR-04	TC80401	W-ANGUL-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC07110	OR-08	TC80403	W-CUTTACK-3	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03100	JAIPUR-4	TA31001	W-ALWAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD06210	DEL-B-5	TD52703	W-BHOGAL-3	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY12100	JMUM-1	TY12100	JMUM-1	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZS00103	FV-ZSM-SOUTH ZONE(B)	COASTAL AP	CM00500	TM05240	AP-B-05	TM52402	W-ANANTPUR / DHARMAVARAM-2	ZS00103	FV-ZSM-SOUTH ZONE(B)	BVI0001	VIJAYWADA
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06170	VD-03	TY61701	W-AMRAVATI-1	ZC00105	FV-ZSM-CENTRAL ZONE	BNG0001	NAGPUR
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05930	UP E-3	TD59302	W-VARANASI-1	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIC	CD01200	TD05580	DEL_C-1	TD55801	W-MUKHERJEE NAGAR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06170	VD-03	TY61703	W-WARDHA-1	ZC00105	FV-ZSM-CENTRAL ZONE	BNG0001	NAGPUR
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY06290	PMWA-1	TY06290	PMWA-1	RPMMUM1	RPI - MUMBAI	RPMMUM1	RPI - MUMBAI
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07000	CH-01	TD57811	W-NALAGARH-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC07090	SCAL-9	TC30202	W-BANKURA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04270	ABD-9	TA42702	W-MEHSANA	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD05200	CH-06	TD52004	W-MORINDA-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM53900	KTK-A-10	FVWST15	W-BANGALORE ADH-2	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0002	BANGALORE-2
ZN00101	FV-ZSM-NORTH ZONE	HARYANANORTH	CD00500	TD05020	HN-02	TD50202	W-KARNAL-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03070	JODHPUR-2	TA30704	W-JODHPUR-3	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05560	DEL_A_3	TD55601	W-PUNJABI BAGH-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08020	OR-02	TC80202	W-BERHAMPUR-3	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA33140	IN-ABD	TA3314A	IN-ABD-A	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA33210	JABD	TA33210	JABD	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04160	SRT-1	TA4175A	W-SURAT-1 (A)	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03120	JJPR	TA03120	JJPR	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03130	JJDH	TA03130	JJDH	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03070	JODHPUR-2	TA30704	W-JODHPUR-3	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03130	JJDH	TA03130	JJDH	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05820	C UP-3	TD58202	W-KANPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07040	NE-04	TC70102	W-IMPHAL-2	RPMCAL1	RPI - CALCUTTA	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD05470	UT-05	TD54701	W-MORADABAD-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZS00103	FV-ZSM-SOUTH ZONE(B)	HUBLI	CM00700	TM05270	KTK-B-02	TM52702	W-HUBLI-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05560	DEL_A_3	TD55601	W-PUNJABI BAGH-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03120	JJPR	TA03120	JJPR	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZS00102	FV-ZSM-SOUTH ZONE(A)	COIMBTAORE	CM00600	TM05500	TNN-7	TM51003	W-DHARMAPURI-KRISHNAGIRI-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZE00101	FV-ZSM-EAST ZONE	JHARKHAND	CC00600	TC08050	JH-01	TC80504	W-RANCHI-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	CM00400	BANGALORE1	CM00400	BANGALORE1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZN00101	FV-ZSM-NORTH ZONE	HARYANASOUTH	CD01000	TD05060	HS-05	TD62005	W-HANSI-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07010	NE-01	TC70104	W-SILCHAR-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00101	FV-ZSM-WEST-A ZONE	PUNE	CY00900	TY10110	PUN-02	TY10111	W-KARVE ROAD-1	ZW00101	FV-ZSM-WEST-A ZONE	BPN0001	PUNE
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC01060	SCAL-10	TC20203	W-CENTRAL NORTH KOLKATA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	COIMBTAORE	CM00600	TM01110	TNN-6	TM11102	W-VELLORE-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04050	ABD-5	TA40502	W-DARYAPUR	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA02240	BRD 4	TA22401	W-BHAVNAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA02210	BRD 1	TA22101	W-BARODA-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07020	CH-03	TD61501	WCHANDIGARH-2	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07180	MK-5	TY71804	W-BEED-3	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZE00101	FV-ZSM-EAST ZONE	JHARKHAND	CC00600	TC08110	JH-05	TC81108	W-GIRIDIH-RAJDHANBAR-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM05350	BLR-2-06	TM05350	BLR-2-06	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03060	JODHPUR-1	TA30601	W-AJMER-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03090	JODHPUR-4	TA30901	W-BIKANER-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07140	MK-1	TY71401	W-AURANGABAD-MAH-1	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM05580	JKER	TM05580	JKER	RPMCHN1	RPI - SOUTH - A-CHENNAI	RPMCHN1	RPI - SOUTH - A-CHENNAI
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC01110	NCAL-9	TC11105	W-SAINTHIA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM53900	KTK-A-10	FVWST15	W-BANGALORE ADH-2	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0002	BANGALORE-2
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIC	CD01200	TD05280	DEL_C-4	TD05280	DEL_C-4	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY12100	JMUM-1	TY12100	JMUM-1	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05570	DEL_A_4	TD55701	W-KIRTI NAGAR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03020	JAIPUR-5	TA30202	W-JHUNJHUNU-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZS00103	FV-ZSM-SOUTH ZONE(B)	HUBLI	CM00700	TM05280	KTK-B-03	TM52801	W-BELGAUM-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD05750	UT-03	TD57504	W-RISHIKESH-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC02050	SCAL-8	TC20505	W-DURGAPUR/RANIGANJ-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07080	NE-08	TC70302	W-DHUBRII-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM05300	BLR-1-02	TM52909	W-BANGALORE CITY MARKET-8	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07080	NE-08	TC70302	W-DHUBRII-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08100	OR-06	TC81001	W-KANTABANJI-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05240	DEL-B-1	TD52401	W-KOTLA-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05930	UP E-3	TD05930	UP E-3	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05030	CN-4	TM50301	W-MADRAS-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03070	JODHPUR-2	TA30703	W-JODHPUR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03100	JAIPUR-4	TA31001	W-ALWAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00101	FV-ZSM-NORTH ZONE	HARYANANORTH	CD00500	TD06110	HN-03	TD61103	W-JIND-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC08160	JCAL	TC0816D	JCAL-D	RPMCAL1	RPI - CALCUTTA	RPMCAL1	RPI - CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05960	UP E-6	TD59604	W-LUCKNOW-3	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06020	BH-02	TC60203	W-KHAGARIA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC01130	BH-07	TC11301	W-BIHAR SHERIF,NALANDA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00101	FV-ZSM-NORTH ZONE	PUNJABSOUTH	CD00900	TD06190	PPN	TD06190	PPN	RPICHD1	RPI - CHANDIGARH	RPICHD1	RPI - CHANDIGARH
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05250	DEL-B-2	TD52501	W-SAFDARJUNG-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08030	OR-03	TC80302	W-ROURKELA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC07090	SCAL-9	TC20503	W-DURGAPUR-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06040	BH-04	TC60402	W-GAYA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA07570	SRT-9	TA41702	W-NAVASARI-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06040	BH-04	TC60402	W-GAYA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06030	KER-3	TM60303	W-TRIVANDRUM-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY11060	TH-4	TY11064	W-MURBAD-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIWEST	CY00300	TY11120	MW-6	TY31603	W-PALGHAR-2	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY06200	MK-4	TY62002	W-JALGAON-1	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03110	JAIPUR-7	TA31402	W-SRIGANGANAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08010	OR-01	TC80105	W-PURI-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04220	SRT-2E	TA4171B	W-SURAT-2B	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05800	C UP-1	TD58001	W-ALLAHABAD-1	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY07010	MP-1	TY70102	W-INDORE-1	ZC00105	FV-ZSM-CENTRAL ZONE	BMP0001	MP + CHTSG
ZN00101	FV-ZSM-NORTH ZONE	PUNJABNORTH	CD00100	TD05230	PN-01	TD52303	W-JALLANDER-2	ZN00101	FV-ZSM-NORTH ZONE	BPU0001	PUNJAB
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03140	JODHPUR-5	TA31102	W-UDAIPUR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
